Nickname,Verified,CommentCount,PlayCount,ShareCount,Duration
Emre Balım | Sanat Sokakta,False,16800,64000000,56200,11
funny_p.e.t,False,31600,43500000,73400,49
cute_cheese,False,14400,41200000,58000,49
Bandit the Raccoon,False,151700,110100000,394000,10
Erika Thompson,True,257500,102300000,485700,59
user2888307153330,False,73800,67300000,82200,10
Sam Smith,False,105500,73000000,297900,10
Quincy,True,75400,61600000,170400,27
Jordyn and Jonathan ❤️,False,110200,40700000,157600,57
evedc18,False,150100,39200000,192400,59
Thomas Hamilton,False,91100,64100000,132400,180
ORIGZONE,False,50000,97500000,207700,11
The Parrot Lady,False,95200,57400000,458600,8
Angel Rai,True,111000,236600000,577800,12
joelmoaca,False,394000,87200000,399400,10
serovski_,True,106100,107200000,419300,48
joker.me1,False,151100,91500000,134100,30
Ariana Valeria,False,117700,36700000,381100,9
MING,True,20000,85700000,17900,58
Safari Sammie,False,106800,94900000,263200,61
Joshua Monis,False,47500,110600000,70100,57
Lindy and Jlo,True,21800,105500000,22000,8
comeatmebhai,False,86300,44200000,95300,13
Gabe Tyler,False,164600,120500000,398200,167
user2976086292756,False,79300,146600000,291800,15
Chiruzz,False,9326,14000000,2188,9
comeatmebhai,False,86300,44200000,95300,13
Relaxed Bryan,False,61000,144100000,721700,8
barbara,False,214400,26500000,127700,44
Mychka,False,73900,40300000,257900,10
ItzJosh,False,8919,47500000,9457,16
Betty Fletcher380,False,81600,27300000,176300,8
TONI ARIAS,False,81800,66900000,138300,7
,False,139500,33300000,468900,29
Simba Jones,False,24800,31800000,283200,46
,False,21000,30200000,84400,23
Mel,False,42500,25600000,97500,10
allthingsequestrian93,False,47100,31000000,206700,10
☹✎,False,44700,20200000,35900,14
AKUN INI DI JUAL,False,10100,49800000,17500,33
SYDNEYGRAY✨,False,35800,37200000,43200,15
Gizmo loen,False,81500,20300000,152100,7
CANCER MOON,False,170500,19700000,250400,51
Bob Reese,False,83000,54700000,199300,8
Octane clipz rl,False,70000,18100000,209700,8
,False,51600,18400000,57800,58
Gtadrawing,False,19900,14500000,64000,15
Jailyne Ojeda,True,8256,14500000,2071,30
DAILY MEMES|FUNNY CONTENT,False,19600,21600000,66600,15
The original meme guy,False,5671,16800000,14500,12
san,False,18700,16000000,79300,119
The original meme guy,False,3419,10900000,10600,11
Daily Memes,False,4000,14000000,2685,14
parcheroviral,False,5002,15800000,5235,33
memes,False,16400,15100000,91200,11
Brad Gosse The Comedian,False,4530,6100000,12700,45
Lewis Jackson,False,15000,11000000,44300,8
手形,False,31200,11800000,147900,5
CHOW,False,39400,4400000,120500,19
Daily memes,False,11800,13500000,91200,6
Noel,False,3239,9700000,32700,90
CEO of ✨memes✨,False,2234,5500000,5643,12
Victoria,False,2533,3900000,13000,41
Pj Bell,False,234300,71000000,616500,9
BTS,True,523700,81600000,684200,12
Gabe Tyler,False,164600,120500000,398200,167
Chiruzz,False,9326,14000000,2188,9
comeatmebhai,False,86300,44200000,95300,13
Marry Sheikh,False,59700,69900000,376700,11
Dilkash Dhany Ramnauth,False,108700,105900000,481700,56
Relaxed Bryan,False,61000,144100000,721700,8
barbara,False,214400,26500000,127700,44
✨Nathalia_1205✨,False,213900,25300000,245000,15
Betty Fletcher380,False,81600,27300000,176300,8
@arbaz__shaikh,False,23800,64000000,152300,8
Felipinho Street Son,False,20900,43500000,52900,29
,False,139500,33300000,468900,29
rawrboi,False,29600,42800000,35700,6
Simba Jones,False,24800,31800000,283200,46
,False,21000,30200000,84400,23
manlikefatz1,False,49800,22900000,252600,59
Mel,False,42500,25600000,97500,10
Eli Wingert,False,23400,22500000,22600,19
Outfishing_b.c,False,132300,212200000,171200,9
Twiniboo,False,407300,145400000,1000000,36
Adrian Kozakiewicz,True,181500,231200000,259700,14
pet,False,115600,235000000,347500,21
Funny Vids 2k21,False,233600,227100000,1300000,7
Samuel Grubbs,True,214600,169500000,433300,14
미소아라 Miso_Ara,True,66000,200600000,377700,17
Erika Thompson,True,215800,132000000,298700,59
미소아라 Miso_Ara,True,45700,178300000,629300,13
MINECRAFT_NOON,False,105100,177500000,500000,30
Yizhou,False,131800,215800000,504500,58
Erika Thompson,True,257500,102300000,485700,59
Or Zuti,True,86100,243800000,281300,11
Funny Vids 2k21,False,170600,127700000,621700,7
♥️ Artist boy️,False,30600,150700000,196700,21
Hunain M,False,178800,76900000,673200,10
Cassie Furlong,False,27300,100500000,40800,21
Matt Corry,True,65700,191400000,341900,16
BRIAR CARES,False,384800,130100000,468800,11
user99961825434,False,150700,117700000,394000,12
British Promise Cats,False,467000,299500000,2800000,13
Chipmunks of TikTok,False,401700,279900000,1200000,15
Spencer West,True,528800,259300000,1200000,8
원정맨 WonJeong,True,253100,181200000,275300,11
Abram Engle,False,309500,196100000,975900,12
Twiniboo,False,407300,145400000,1000000,36
Luke Taylor,False,187500,121600000,194400,34
Goat Daddy's,False,242900,177600000,953900,59
Eduwoes,True,106000,135300000,69600,44
원정맨 WonJeong,True,262100,170500000,303700,13
원정맨 WonJeong,True,244100,189900000,375600,12
Noel Quidlat,False,263100,126000000,170400,17
Funny Vids 2k21,False,233600,227100000,1300000,7
Kapsalonfreedom,False,308900,354800000,379000,59
,False,154800,167400000,314100,10
Samuel Grubbs,True,214600,169500000,433300,14
INOXIA,True,100600,165900000,368000,59
Krystle Klear245,False,256600,204400000,543800,54
Elie Feghaly,True,391100,140900000,508600,14
L Λ I K Λ,False,115100,252100000,204400,18
Cactus Choir,False,136900,141200000,486100,34
The Chainz Family,True,100900,149500000,1200000,13
nytiss,False,573100,74300000,52700,34
NDJ,True,63800,68800000,104400,19
@Jordi.koalitic,True,26100,76300000,104400,11
